"district","rps01","rps02","rps03","rps04","rps05","rps06","rps07","rps08","rps09","rps10","rps11","rps12","rps13","rps14","rps15","rps16","rps17","rps18","rps19","rps20","rps21","rps22","rps23","rps24","rps25","rps26","rps27","rps28"
"淡水區","建物","新北市淡水區沙崙路一段１２６巷６７號十二樓","0.0","住","","","1100910.0","土地0建物1車位0","十二層","18.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1060824.0","149.48","3.0","2.0","2.0","有","有","有","19000.0","127.0","坡道平面","46.91","0.0","此為新北市社會住宅包租代管計畫之物件，評定市價租金為21111，因為新北市計畫租金上限為31500，選擇代租方案須打九折，實際租賃契約金額為19000。水電瓦斯費由承租人負擔管理費每月2705由承租人負擔","RPQQMLOLRHGGFEF88CC"
"淡水區","建物","新北市淡水區淡金路一段５４１號二樓","0.0","","","","1100921.0","土地0建物0車位0","二層","15.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","971008.0","111.7","1.0","0.0","1.0","有","有","有","8000.0","72.0","","0.0","0.0","此案為分租套房，一間8000元含管理費主建物面積約21.299坪，分租一間房間約7坪大","RPVPMLMLRHGGFEF09CC"
"淡水區","建物","新北市淡水區新市一路一段１６２號十一樓","0.0","住","","","1100903.0","土地0建物1車位0","十一層","20.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1051020.0","109.3","3.0","2.0","2.0","有","有","有","14000.0","128.0","","0.0","0.0","此為新北市社會住宅包租代管計畫之物件，評定市價租金為15556，因為新北市計畫租金上限為31500，選擇代租方案須打九折，實際租賃契約金額為14000。水電瓦斯費由承租人負擔管理費每月1984由承租人負擔","RPRQMLOLRHGGFEF98CC"
"淡水區","建物","新北市淡水區新市二路二段２號二樓之２","0.0","住","","","1100910.0","土地0建物1車位0","二層","13.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1040907.0","112.449999999999","2.0","2.0","1.0","有","有","有","19000.0","169.0","","0.0","0.0","此為新北市社會住宅包租代管計畫之物件，評定市價租金為21111，因為新北市計畫租金上限為31500，選擇代租方案須打九折，實際租賃契約金額為19000。","RPTTMLOLRHGGFEF86CC"
"淡水區","建物","新北市淡水區新市二路三段１７２巷２５號２樓","0.0","住","","","1100927.0","土地0建物0車位0","二層","14.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1041028.0","93.6","2.0","2.0","1.0","有","有","有","11000.0","118.0","","0.0","0.0","此為新北市社會住宅包租代管計畫之物件， 評定市價租金為12300，因為新北市計畫租金上限為31500， 選擇代租方案須打九折，實際租賃契約金額為11000。","RPQRMLRLRHGGFEF66CC"
"淡水區","建物","新北市淡水區新市三路一段５２號十五樓","0.0","住","","","1100916.0","土地0建物1車位0","十五層","20.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1080222.0","89.42","2.0","2.0","1.0","有","無","有","20000.0","224.0","","0.0","0.0","此為新北市社會住宅包租代管計畫之物件，評定市價租金為22222，因為新北市計畫租金上限為31500，選擇代租方案須打九折，實際租賃契約金額為20000。","RPUQMLMLRHGGFEF09CC"
"淡水區","建物","新北市淡水區新市三路二段２０１號十六樓","0.0","商","","","1100908.0","土地0建物1車位0","十六層","29.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1070525.0","92.22","2.0","2.0","1.0","有","有","有","15000.0","163.0","","0.0","0.0","此為新北市社會住宅包租代管計畫之物件，評定市價租金為16667，因為新北市計畫租金上限為31500，選擇代租方案須打九折，實際租賃契約金額為15000。","RPUSMLOLRHGGFEF86CC"
"淡水區","建物","新北市淡水區新市三路二段２７７號二十二樓","0.0","商","","","1100916.0","土地0建物1車位1","二十二層","29.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1070525.0","152.47","3.0","2.0","2.0","有","有","有","20000.0","131.0","坡道平面","30.46","0.0","租金含管理費。","RPOPMLTLRHGGFEF09CC"
"淡水區","建物","新北市淡水區新市五路三段２６２號二十三樓","0.0","商","","","1100915.0","土地0建物1車位0","二十三層","26.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1061229.0","85.47","2.0","2.0","1.0","有","無","有","10800.0","126.0","","0.0","0.0","此為新北市社會住宅包租代管計畫之物件，評定市價租金為12000，因為新北市計畫租金上限為31500，選擇代租方案須打九折，實際租賃契約金額為10800。","RPXRMLMLRHGGFEF86CC"
"淡水區","建物","新北市淡水區新市五路三段２６８號二十二樓","0.0","商","","","1100901.0","土地0建物1車位0","二十二層","26.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1061229.0","95.52","2.0","2.0","1.0","有","有","有","16000.0","168.0","","0.0","0.0","此為新北市社會住宅包租代管計畫之物件，評定市價租金為17778，因為新北市計畫租金上限為31500，選擇代租方案須打九折，實際租賃契約金額為16000。","RPVRMLOLRHGGFEF86CC"
"淡水區","建物","新北市淡水區學府路１５９號５樓之２","0.0","","","","1100919.0","土地0建物1車位0","五層","6.0","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","800212.0","37.03","1.0","0.0","1.0","有","有","有","7000.0","189.0","","0.0","0.0","","RPWSMLOLRHGGFEF07CC"
"淡水區","建物","新北市淡水區興福寮８８巷２３４號五樓","0.0","","山坡地保育區","丙種建築用地","1100902.0","土地0建物1車位0","五層","14.0","住宅大樓(11層含以上有電梯)","鄉村住宅","鋼筋混凝土造","900411.0","86.33","2.0","2.0","1.0","有","有","有","14956.0","173.0","","0.0","0.0","此為新北市社會住宅包租代管計畫之物件，評定市價租金為16618，因為新北市計畫租金上限為31500，選擇代租方案須打九折，實際租賃契約金額為14956。","RPUPMLRLRHGGFEF86CC"
